,gr,ug,ugsp,irt,ski,cgp,cert,certc,mas
6,Male,BMS,Commerce,"Research, Sales/Marketing","Critical Thinking, Analytic Thinking, Communication Skills, Creativity Skills, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, Problem Solving skills, Observation Skills, Reading",0.603174603,0,No,mcom
9,Female,B.Sc,Physics ,Research;Teaching;Technology;Understand human behaviour;Understand human body;Content Writing;Govt. Job;Service;Infrastructure,Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Communication skills;Leadership;Editing;Problem Solving skills;Writing skills;Medical knowledge;HR;Good communication skills;Teaching,0.80952381,0,No,Msc Physics
10,Male,B.Com,Accountancy,Financial Analysis,"Accounting Skills, Analytic Thinking, Cost Accounting, Team work, Excel, Problem Solving skills, Writing, Tableau",0.444444444,1,Alteryx and Tableau,Pursuing Certified Management Accountant of United States
14,Male,BCA,Computer Applications,Technology,Communication skills;Writing skills;C++;Python;SQL;Java;Cloud Computing,0.571428571,0,No,Master of Computer Applications
16,Male,B.Tech,Computer Science Engineering,Financial Analysis;Research;Data analytics;Data scientist,Programming Language skills;Critical Thinking;Gathering Information;Leadership;Machine Learning skills;Python;Artificial Intelligence;SQL;Java;MATLAB;Good communication skills,0.46031746,0,No,Masters in Data science and computational intelligence
34,Female,B.Com,Economics,Sales/Marketing,Business Knowledge,0.793650794,0,No,M.Com
44,Male,B.Sc,Chemistry,Government jobs,Sports,0.619047619,1,No,Msc chemistry
45,Male,Bca,Computer Applications,Technology,"AI, ML, Python, Java, SQL, Tableau",0.650793651,1,Udemy,Masters in Computer Applications
56,Female,B.Sc,Statistics ,Data analytics,Critical Thinking;Analytical Skills;Leadership;Problem Solving skills;Machine Learning skills;Python,0.53968254,1,Data science using R and Python ,mscStatistics 
67,Female,B.Sc,Computer Science ,Technology;Data analytics;Data scientist;All fields related to Data science.,Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Python;SQL,0.492063492,1,Data Science,Masters in Computer Science
69,Male,B.Tech,Mathematics,"Teaching, Technology","Analytic Thinking, Logical Skills, C++, Writing",0.571428571,0,No,Masters in Mathematics
87,Male,BE,Electrical and Electronics Engineering,Research;Teaching;Technology;Trading;Understand human behaviour;Understand human body;Data scientist;Market reserach;Social media marketing;Industires,Programming Language skills;Critical Thinking;Analytical Skills;Problem Solving skills;Python;Medical knowledge;MATLAB;Teaching,0.428571429,0,No,M.Tech-Heat Power Engineering and PhD-Mechanical Engineering 
91,Female,B.Com,Computer Science Engineering,Financial Analysis,Accounting Skills,0.888888889,0,No,Masters in Accounting
105,Female,B.Com,Accountancy,Sales/Marketing,Accounting Skills,0.650793651,0,No,Masters in Accounting
107,Female,Biotechnology,Biotechnology,"Research, Technology, Entrepreneurship, Understand Human Body","Active Listening, Critical Thinking, Analytic Thinking, Negotiation Skills, Presentation Skills, Problem Solving skills, Writing, Observation Skills, Subject Knowledge",0.825396825,0,No,Masters in Biotechnology
108,Female,B.Com,Commerce,Entrepreneurship,"Accounting Skills, Cost Accounting, Excel, Writing",0.507936508,0,No,Masters in Accounting
109,Male,B.Com,Commerce,Take risk for Profits,Accounting Skills,0.666666667,1,Yes,Masters in Accounting
115,Female,B.Sc,Computer Science Engineering,"Understand Human Behaviour, Understand Human Body","Active Listening, Critical Thinking, SQL, Leadership, Editing, Creativity Skills, Team work, Excel, Logical Skills, Problem Solving skills, Designing Skills",0.761904762,0,No,Masters in Computer Applications
120,Female,BCA,Computer science ,Research;Technology;Data analytics;Data scientist;Web development,Active Listening;Programming Language skills;Gathering Information;C++;Java,0.53968254,1,Machine learning,Masters In computer application 
123,Male,B.Sc,Computer Science Engineering,Technology;Data analytics,Active Listening;Programming Language skills;Communication skills;Machine Learning skills;Python,0.507936508,1,Data Science using Python and R Programming Languages,Masters in Science
132,Female,BE,Civil Engineering,Research;All fields related to Data science.;Design,"Analytical Skills;Python;Proeficiency in Software like STAAD PRO, ETABS;Good communication skills;Teaching",0.682539683,1,"DIPLOMA IN BUILDING DESIGN,PRIMAVERA,MX ROAD",TRANSPORTATION ENGINEERING
150,Female,B.Sc,Mathematics,News Coverage,"Communication Skills, Leadership, Problem Solving skills, Subject Knowledge",0.634920635,0,No,Masters in Business Administration
155,Male,B.Sc,Mathematics,"Research, Technology","Python, Java, SQL, Oracle",0.349206349,0,No,Masters in Computer Applications
157,Male,B.Sc,Statistics,Software and research,"Python, Critical Thinking, Analytic Thinking, Work under Pressure, Creativity Skills, Team work, Derivatives, Excel, Logical Skills, Interpersonal Skills, Observation Skills",0.619047619,0,No,Masters in Computer Applications
160,Male,B.Sc,Mathematics,"Financial Analysis, Sales/Marketing, Teaching","Team work, Logical Skills, Writing",0.714285714,0,No,Masters in Mathematics
168,Female,B.Tech,Electronics and Communication Engineering,IT,"Python, Editing, Team work, Problem Solving skills, Writing",0.619047619,1,"Azure, python",Master of engineering
172,Female,B.Tech,Civil engineering,Technology,"Civil & Criminal Law, Communication Skills, Sales",0.619047619,0,No,Masters in Arts & Literature
181,Female,B.Sc,Computer Science Engineering,"Take risk for Profits, Teaching, Technology","Accounting Skills, Business Knowledge, Programming, People Management, Leadership, Creativity Skills, Team work, Excel, Presentation Skills, Problem Solving skills, Reporting",0.365079365,1,C programming,Masters in Computer Science
194,Female,B.Tech,Computer Science Engineering,Web Designing,Critical Thinking;Finance related skills;People management;Communication skills;Leadership;Designing skills;Social Media Marketing,0.714285714,0,No,Masters in compter science 
197,Male,B.Sc,Physics,Social Justice,"Business Knowledge, Sales",0.619047619,0,No,Masters in Data Science
200,Male,B.Sc,Physics,Social Justice,Leadership,0.619047619,0,No,Masters in Pharmacy
201,Male,BBA,Business Administration,"Financial Analysis, Sales/Marketing","Accounting Skills, Business Knowledge, Product Knowledge, Sales",0.396825397,0,No,Masters in Business Administration
204,Male,B.Sc,Zoology,News Coverage;Understand human behaviour;Govt. Job,Gathering Information,0.412698413,0,No,Masters in Political science 
208,Female,B.Com,cost and work accounting,Data entry or telecalling work,"Team work, Excel, Writing",0.365079365,1,I have completed Mscit And Tally course with Government cerificate,master of Computer 
209,Female,BBA,Computer Science Engineering,Financial Analysis;Technology;Data analytics,Programming Language skills;Analytical Skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;SQL,0.365079365,1,360DIGITMG Data Science certification ,Masters in Business administration 
213,Male,B.Com,Finance,Financial Analysis,Business Knowledge,0.412698413,0,No,mcom
217,Male,B.Tech,Production Engineering,Financial Analysis;Technology;Supply Chain Analysis;Data analytics;Data scientist,Designing skills;Python,0.492063492,0,No, Mechatronics engg. 
219,Male,B.Tech,Automobile Engineering,Technology,"Work under Pressure, Leadership, Team work, Excel, Interpersonal Skills, Presentation Skills, Problem Solving skills, Mass Communication, Writing, Risk Managing, Reporting, Reading, Designing Skills",0.650793651,1,Matlab/simulink ,Masters inAutomobile Engg
224,Female,B.Sc,Physics,News Coverage;Research;Sales/Marketing;Social Justice;Teaching,Gathering Information;Artistic/Creative Skills;Analytical Skills;Communication skills,0.523809524,0,No,Msc Physics
238,Female,BBA,Physics,Teaching,Civil & Criminal Law,0.492063492,0,No,Masters in Arts & Literature
241,Female,B.Com,Accounts,Financial Analysis;Understand human behaviour;Content Writing;Data analytics;Data scientist,Accounting Skills;Active Listening;Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Finance related skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Presentation Skills;Python;SQL;Good communication skills,0.349206349,0,No,MBA(FINANCE)
243,Male,B.E,Information Technology,"Research, Social Justice, Understand Human Body","Writing, Reading",0.603174603,0,No,Masters in Data Science
247,Female,BA,English,Information Technology,Programming Language skills,0.571428571,0,No,Master in English
248,Female,BCA,Computer Applications ,Teaching;Technology;Web Designing;Content Writing,Active Listening;Programming Language skills;Gathering Information;Communication skills;Leadership;Problem Solving skills;Risk management skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );C++;SQL;Content creation;Medical knowledge;Java;Cloud Computing,0.650793651,1,"C, cpp, java",MCA
249,Female,B.Pharmacy,Zoology,Understand Human Body,Excel,0.603174603,1,No,M pharmacy
255,Male,BE,Automobile engineering ,Industires;Machine Learning;Automotive Textile machineryâ€™s ,Technical machine fitter,0.365079365,0,No,masters in Automobile engineering 
261,Male,BBA,Civil Engineering,Financial Analysis;Sales/Marketing;Data analytics,Accounting Skills;Communication skills;Negotiation skills;Editing;Wealth Management;Presentation Skills,0.587301587,0,No,MBA
262,Male,B.Tech,Finance,Technology,"ML, Python, SQL",0.523809524,0,No,Masters in Computer Science
268,Female,B.Tech,Computer science ,Technology;Data analytics;Data scientist;All fields related to Data science.,Critical Thinking;Communication skills;Negotiation skills;Python;Good communication skills,0.793650794,1,ISO 14001,M.Tech in Environmental science and technology 
272,Male,B.Tech,Commerce,Technology,"Python, Java",0.476190476,0,No,Masters in Banking & Financial Institutions
281,Male,B.Tech,Computer Science Engineering,"Financial Analysis, Research, Technology, Understand Human Behaviour, Understand Human Body","AI, ML, Critical Thinking, Analytic Thinking, Civil & Criminal Law, Work under Pressure, Leadership, Problem Solving skills",0.682539683,0,No,Masters in Arts & Literature
282,Male,B.Sc,Computer Science Engineering,Technology,"Python, Programming, Communication Skills, Leadership, C++, Writing, Observation Skills",0.666666667,0,No,Masters in Computer Science
289,Male,B.Com,Psychology,Trading,Team work,0.349206349,0,No,Masters in Accounting
290,Male,BBA,Accountancy,"News Coverage, Social Justice","Python, Gathering Informing, Business Knowledge",0.952380952,0,No,Masters in Psychology
295,Female,B.Sc,Electrical and Electronics Engineering,"Teaching, Entrepreneurship","Active Listening, Communication Skills, Leadership, Creativity Skills, Presentation Skills, Problem Solving skills, Writing, Tableau, Reading, Subject Knowledge",0.777777778,1,Data science ,Masters in Computer Science
296,Female,B.Sc,Computer Science Engineering,Research;Game industry;Data scientist,Programming Language skills;Business Knowledge;Analytical Skills;Communication skills;Leadership;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;R;Python;Artificial Intelligence;Good communication skills,0.746031746,1,Data science ,MSc in Statistics 
301,Male,BE,Mechanical Engineering,News Coverage;Research;Social Justice;Technology;Trading;Understand human behaviour;Supply Chain Analysis;Data analytics;Digital marketing;Data scientist;Market reserach;Social media marketing,Data Visualization skills( Power Bi/ Tableau );Python;SQL;Client management;Good communication skills,0.301587302,0,No,Master's in marketing and finance 
319,Female,B.Sc,Civil engineering,Data analytics,Leadership;Machine Learning skills;Python;SQL;MATLAB,0.682539683,1,MS office and advance excel,Masters in computer science
322,Male,B.Com,Mechanical Engineering ,Financial Analysis;Research;Teaching;Understand human behaviour;Web Designing;Data analytics,Accounting Skills;Gathering Information;Artistic/Creative Skills;Editing;Linux,0.46031746,0,No,Masters in Commerce
329,Male,BBA,Computer Science Engineering,Technology;Trading;Data analytics;Service,Business Knowledge;Product knowledge,0.396825397,0,No,Master of Business Management
344,Female,B.Tech,Automobile Engineering,"Financial Analysis, Teaching, Technology","Accounting Skills, Communication Skills, Editing, Excel, Presentation Skills, Writing, Reading, Subject Knowledge",0.555555556,0,No,Masters in Mathematics
349,Male,B.Sc,Information Technology,Financial Analysis;News Coverage;Research;Sales/Marketing;Social Justice;Trading;Understand human behaviour;Understand human body;Supply Chain Analysis;Web Designing;Content Writing;Data analytics;Govt. Job;Game industry;Digital marketing;Home interior design;Retailer;Data scientist;Web development;Market reserach;Social media marketing;Social causes;All fields related to Data science.;Navy Defence related;Customer care;Urban Planning,Active Listening;Critical Thinking;Gathering Information;Analytical Skills;People management;Communication skills;Negotiation skills;Leadership;Editing;Product knowledge;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Sales;Presentation Skills;R;Python;Medical knowledge;Hospitality;Client management;Good communication skills,0.619047619,1,Data science course,Masters in environmental science
362,Female,Pharmacy,Information Science,"Teaching, Entrepreneurship","Sales, Subject Knowledge",0.396825397,1,Computer applications,Masters in Pharmacy
363,Female,D ed,Vedio editing ,"Teaching, Entrepreneurship","Reading, Sales",0.349206349,1,Basic computer,Masters in Pharmacy
364,Female,B.Sc,Zoology,Financial Analysis;Govt. Job,Active Listening;Communication skills;Java;Good communication skills;Teaching,0.714285714,0,No,Msc maths
375,Female,B.Com,Chemistry,"Research, Understand Human Behaviour, Understand Human Body","People Management, Communication Skills, Writing, Observation Skills, Reporting",0.650793651,0,No,Masters in Medicine
376,Male,B.Com,Botany,Technology,"AI, ML, Python",0.349206349,1,Web And software Engineer ,Data science and AI
